Search_method Problem Max_evals Run Score
hill_climber knapPI_11_20_1000_4 10000 0 1400
hill_climber knapPI_11_20_1000_4 10000 1 1400
hill_climber knapPI_11_20_1000_4 10000 2 1400
hill_climber knapPI_11_20_1000_4 10000 3 1320
hill_climber knapPI_11_20_1000_4 10000 4 1320
hill_climber knapPI_11_20_1000_4 10000 5 1440
hill_climber knapPI_11_20_1000_4 10000 6 1400
hill_climber knapPI_11_20_1000_4 10000 7 1320
hill_climber knapPI_11_20_1000_4 10000 8 1400
hill_climber knapPI_11_20_1000_4 10000 9 1240
hill_climber knapPI_11_20_1000_4 10000 10 1320
hill_climber knapPI_11_20_1000_4 10000 11 1200
hill_climber knapPI_11_20_1000_4 10000 12 1400
hill_climber knapPI_11_20_1000_4 10000 13 1440
hill_climber knapPI_11_20_1000_4 10000 14 1400
hill_climber knapPI_11_20_1000_4 10000 15 1320
hill_climber knapPI_11_20_1000_4 10000 16 1320
hill_climber knapPI_11_20_1000_4 10000 17 1320
hill_climber knapPI_11_20_1000_4 10000 18 1400
hill_climber knapPI_11_20_1000_4 10000 19 1440
hill_climber knapPI_11_20_1000_4 10000 20 1400
hill_climber knapPI_11_20_1000_4 10000 21 1400
hill_climber knapPI_11_20_1000_4 10000 22 1400
hill_climber knapPI_11_20_1000_4 10000 23 1400
hill_climber knapPI_11_20_1000_4 10000 24 1400
hill_climber knapPI_11_20_1000_4 10000 25 1320
hill_climber knapPI_11_20_1000_4 10000 26 1320
hill_climber knapPI_11_20_1000_4 10000 27 1320
hill_climber knapPI_11_20_1000_4 10000 28 1400
hill_climber knapPI_11_20_1000_4 10000 29 1440
hill_climber knapPI_11_20_1000_4 10000 30 1440
hill_climber knapPI_11_20_1000_4 10000 31 1400
hill_climber knapPI_11_20_1000_4 10000 32 1400
hill_climber knapPI_11_20_1000_4 10000 33 1440
hill_climber knapPI_11_20_1000_4 10000 34 1400
hill_climber knapPI_11_20_1000_4 10000 35 1320
hill_climber knapPI_11_20_1000_4 10000 36 1320
hill_climber knapPI_11_20_1000_4 10000 37 1320
hill_climber knapPI_11_20_1000_4 10000 38 1320
hill_climber knapPI_11_20_1000_4 10000 39 1400
hill_climber knapPI_11_20_1000_4 10000 40 1320
hill_climber knapPI_11_20_1000_4 10000 41 1240
hill_climber knapPI_11_20_1000_4 10000 42 1400
hill_climber knapPI_11_20_1000_4 10000 43 1400
hill_climber knapPI_11_20_1000_4 10000 44 1320
hill_climber knapPI_11_20_1000_4 10000 45 1400
hill_climber knapPI_11_20_1000_4 10000 46 1240
hill_climber knapPI_11_20_1000_4 10000 47 1320
hill_climber knapPI_11_20_1000_4 10000 48 1320
hill_climber knapPI_11_20_1000_4 10000 49 1320
hill_climber knapPI_11_20_1000_4 10000 50 1320
hill_climber knapPI_11_20_1000_4 10000 51 1320
hill_climber knapPI_11_20_1000_4 10000 52 1400
hill_climber knapPI_11_20_1000_4 10000 53 1240
hill_climber knapPI_11_20_1000_4 10000 54 1400
hill_climber knapPI_11_20_1000_4 10000 55 1440
hill_climber knapPI_11_20_1000_4 10000 56 1360
hill_climber knapPI_11_20_1000_4 10000 57 1400
hill_climber knapPI_11_20_1000_4 10000 58 1400
hill_climber knapPI_11_20_1000_4 10000 59 1400
hill_climber knapPI_11_20_1000_4 10000 60 1320
hill_climber knapPI_11_20_1000_4 10000 61 1400
hill_climber knapPI_11_20_1000_4 10000 62 1440
hill_climber knapPI_11_20_1000_4 10000 63 1400
hill_climber knapPI_11_20_1000_4 10000 64 1320
hill_climber knapPI_11_20_1000_4 10000 65 1400
hill_climber knapPI_11_20_1000_4 10000 66 1320
hill_climber knapPI_11_20_1000_4 10000 67 1440
hill_climber knapPI_11_20_1000_4 10000 68 1400
hill_climber knapPI_11_20_1000_4 10000 69 1320
hill_climber knapPI_11_20_1000_4 10000 70 1400
hill_climber knapPI_11_20_1000_4 10000 71 1320
hill_climber knapPI_11_20_1000_4 10000 72 1400
hill_climber knapPI_11_20_1000_4 10000 73 1320
hill_climber knapPI_11_20_1000_4 10000 74 1320
hill_climber knapPI_11_20_1000_4 10000 75 1440
hill_climber knapPI_11_20_1000_4 10000 76 1400
hill_climber knapPI_11_20_1000_4 10000 77 1400
hill_climber knapPI_11_20_1000_4 10000 78 1320
hill_climber knapPI_11_20_1000_4 10000 79 1320
hill_climber knapPI_11_20_1000_4 10000 80 1320
hill_climber knapPI_11_20_1000_4 10000 81 1320
hill_climber knapPI_11_20_1000_4 10000 82 1400
hill_climber knapPI_11_20_1000_4 10000 83 1400
hill_climber knapPI_11_20_1000_4 10000 84 1320
hill_climber knapPI_11_20_1000_4 10000 85 1400
hill_climber knapPI_11_20_1000_4 10000 86 1400
hill_climber knapPI_11_20_1000_4 10000 87 1400
hill_climber knapPI_11_20_1000_4 10000 88 1400
hill_climber knapPI_11_20_1000_4 10000 89 1360
hill_climber knapPI_11_20_1000_4 10000 90 1400
hill_climber knapPI_11_20_1000_4 10000 91 1400
hill_climber knapPI_11_20_1000_4 10000 92 1240
hill_climber knapPI_11_20_1000_4 10000 93 1400
